[2025-04-02 12:11:35,394] INFO: [CLIENT] Sent video packet of size 58916 at timestamp 1743585095.3931077
[2025-04-02 12:11:35,440] INFO: [CLIENT] Sent video packet of size 58556 at timestamp 1743585095.439071
[2025-04-02 12:11:35,487] INFO: [CLIENT] Sent video packet of size 59179 at timestamp 1743585095.4860718
[2025-04-02 12:11:35,534] INFO: [CLIENT] Sent video packet of size 59656 at timestamp 1743585095.5330868
[2025-04-02 12:11:35,582] INFO: [CLIENT] Sent video packet of size 59521 at timestamp 1743585095.5809803
[2025-04-02 12:11:35,629] INFO: [CLIENT] Sent video packet of size 59819 at timestamp 1743585095.6280267
[2025-04-02 12:11:35,675] INFO: [CLIENT] Sent video packet of size 59827 at timestamp 1743585095.6739192
[2025-04-02 12:11:35,721] INFO: [CLIENT] Sent video packet of size 59935 at timestamp 1743585095.7200723
[2025-04-02 12:11:35,769] INFO: [CLIENT] Sent video packet of size 60209 at timestamp 1743585095.7679732
[2025-04-02 12:11:35,816] INFO: [CLIENT] Sent video packet of size 61151 at timestamp 1743585095.8150089
[2025-04-02 12:11:35,864] INFO: [CLIENT] Sent video packet of size 61060 at timestamp 1743585095.8629272
[2025-04-02 12:11:35,911] INFO: [CLIENT] Sent video packet of size 61131 at timestamp 1743585095.910151
[2025-04-02 12:11:35,958] INFO: [CLIENT] Sent video packet of size 61174 at timestamp 1743585095.957023
[2025-04-02 12:11:36,005] INFO: [CLIENT] Sent video packet of size 60777 at timestamp 1743585096.00413
[2025-04-02 12:11:36,053] INFO: [CLIENT] Sent video packet of size 61057 at timestamp 1743585096.052289
[2025-04-02 12:11:36,099] INFO: [CLIENT] Sent video packet of size 60966 at timestamp 1743585096.0980315
[2025-04-02 12:11:36,147] INFO: [CLIENT] Sent video packet of size 60749 at timestamp 1743585096.1460407
[2025-04-02 12:11:36,193] INFO: [CLIENT] Sent video packet of size 60776 at timestamp 1743585096.192361
[2025-04-02 12:11:36,238] INFO: [CLIENT] Sent video packet of size 60650 at timestamp 1743585096.2373579
[2025-04-02 12:11:36,284] INFO: [CLIENT] Sent video packet of size 60698 at timestamp 1743585096.283328
[2025-04-02 12:11:36,332] INFO: [CLIENT] Sent video packet of size 60788 at timestamp 1743585096.3312528
[2025-04-02 12:11:36,378] INFO: [CLIENT] Sent video packet of size 60514 at timestamp 1743585096.3773158
[2025-04-02 12:11:36,424] INFO: [CLIENT] Sent video packet of size 60441 at timestamp 1743585096.4232402
[2025-04-02 12:11:36,470] INFO: [CLIENT] Sent video packet of size 60561 at timestamp 1743585096.4693482
[2025-04-02 12:11:37,479] INFO: [CLIENT] Sent video packet of size 60450 at timestamp 1743585096.5166943
[2025-04-02 12:11:37,524] INFO: [CLIENT] Sent video packet of size 58929 at timestamp 1743585097.5232813
[2025-04-02 12:11:37,571] INFO: [CLIENT] Sent video packet of size 58977 at timestamp 1743585097.570274
[2025-04-02 12:11:37,618] INFO: [CLIENT] Sent video packet of size 58756 at timestamp 1743585097.61723
[2025-04-02 12:11:37,666] INFO: [CLIENT] Sent video packet of size 58782 at timestamp 1743585097.6653335
[2025-04-02 12:11:37,714] INFO: [CLIENT] Sent video packet of size 58461 at timestamp 1743585097.7132533
[2025-04-02 12:11:37,762] INFO: [CLIENT] Sent video packet of size 58519 at timestamp 1743585097.7612214
[2025-04-02 12:11:37,811] INFO: [CLIENT] Sent video packet of size 58374 at timestamp 1743585097.8090627
[2025-04-02 12:11:37,857] INFO: [CLIENT] Sent video packet of size 58358 at timestamp 1743585097.856242
[2025-04-02 12:11:37,904] INFO: [CLIENT] Sent video packet of size 58088 at timestamp 1743585097.9032383
[2025-04-02 12:11:37,951] INFO: [CLIENT] Sent video packet of size 58599 at timestamp 1743585097.9502823
[2025-04-02 12:11:37,999] INFO: [CLIENT] Sent video packet of size 58777 at timestamp 1743585097.9982908
[2025-04-02 12:11:38,046] INFO: [CLIENT] Sent video packet of size 58751 at timestamp 1743585098.045265
[2025-04-02 12:11:38,093] INFO: [CLIENT] Sent video packet of size 58799 at timestamp 1743585098.092209
[2025-04-02 12:11:38,140] INFO: [CLIENT] Sent video packet of size 58800 at timestamp 1743585098.1391258
[2025-04-02 12:11:38,187] INFO: [CLIENT] Sent video packet of size 59023 at timestamp 1743585098.1860998
[2025-04-02 12:11:38,233] INFO: [CLIENT] Sent video packet of size 59074 at timestamp 1743585098.2321026
[2025-04-02 12:11:38,280] INFO: [CLIENT] Sent video packet of size 59387 at timestamp 1743585098.2791016
[2025-04-02 12:11:38,327] INFO: [CLIENT] Sent video packet of size 59438 at timestamp 1743585098.326182
[2025-04-02 12:11:38,374] INFO: [CLIENT] Sent video packet of size 59700 at timestamp 1743585098.3731086
[2025-04-02 12:11:38,421] INFO: [CLIENT] Sent video packet of size 59493 at timestamp 1743585098.4201832
[2025-04-02 12:11:38,468] INFO: [CLIENT] Sent video packet of size 59600 at timestamp 1743585098.4670908
[2025-04-02 12:11:39,004] INFO: [CLIENT] Sent video packet of size 59868 at timestamp 1743585098.5139675
[2025-04-02 12:11:39,049] INFO: [CLIENT] Sent video packet of size 58783 at timestamp 1743585099.04806
[2025-04-02 12:11:39,100] INFO: [CLIENT] Sent video packet of size 58770 at timestamp 1743585099.0992048
[2025-04-02 12:11:39,145] INFO: [CLIENT] Sent video packet of size 59004 at timestamp 1743585099.1439285
[2025-04-02 12:11:39,191] INFO: [CLIENT] Sent video packet of size 58664 at timestamp 1743585099.19012
[2025-04-02 12:11:39,238] INFO: [CLIENT] Sent video packet of size 58903 at timestamp 1743585099.2372339
[2025-04-02 12:11:39,286] INFO: [CLIENT] Sent video packet of size 59156 at timestamp 1743585099.2844071
[2025-04-02 12:11:39,333] INFO: [CLIENT] Sent video packet of size 58823 at timestamp 1743585099.3320131
[2025-04-02 12:11:39,381] INFO: [CLIENT] Sent video packet of size 58740 at timestamp 1743585099.380107
[2025-04-02 12:11:39,429] INFO: [CLIENT] Sent video packet of size 58887 at timestamp 1743585099.4280646
[2025-04-02 12:11:39,477] INFO: [CLIENT] Sent video packet of size 58786 at timestamp 1743585099.4743025
[2025-04-02 12:11:39,537] INFO: [CLIENT] Sent video packet of size 59068 at timestamp 1743585099.5360637
[2025-04-02 12:11:39,585] INFO: [CLIENT] Sent video packet of size 59186 at timestamp 1743585099.5840337
[2025-04-02 12:11:39,632] INFO: [CLIENT] Sent video packet of size 58681 at timestamp 1743585099.631095
[2025-04-02 12:11:39,679] INFO: [CLIENT] Sent video packet of size 58506 at timestamp 1743585099.678042
[2025-04-02 12:11:39,725] INFO: [CLIENT] Sent video packet of size 58832 at timestamp 1743585099.7241063
[2025-04-02 12:11:39,771] INFO: [CLIENT] Sent video packet of size 58748 at timestamp 1743585099.7701232
[2025-04-02 12:11:39,816] INFO: [CLIENT] Sent video packet of size 58597 at timestamp 1743585099.8151731
[2025-04-02 12:11:39,864] INFO: [CLIENT] Sent video packet of size 58631 at timestamp 1743585099.8622806
[2025-04-02 12:11:39,913] INFO: [CLIENT] Sent video packet of size 58605 at timestamp 1743585099.909628
[2025-04-02 12:11:39,970] INFO: [CLIENT] Sent video packet of size 58564 at timestamp 1743585099.9691188
[2025-04-02 12:11:40,018] INFO: [CLIENT] Sent video packet of size 58408 at timestamp 1743585100.0170066
[2025-04-02 12:11:40,065] INFO: [CLIENT] Sent video packet of size 58326 at timestamp 1743585100.0640779
[2025-04-02 12:11:40,112] INFO: [CLIENT] Sent video packet of size 58461 at timestamp 1743585100.1109822
